c_personid,name_A,c_merged_from_personid,name_B,need_check,source,notes
128144,吳中行,122146,吳復菴,need_check,None,吳中行，與女兒親屬關係為同一人，名號為同一人
133312,薛敷政,362350,薛敷政,,None,薛敷政，基本信息一致，指數年相近
72331,毛羽皇,348790,毛羽皇,,None,毛羽皇，基本信息一致，指數年相近
128109,邢玠,348289,邢玠,,None,邢玠，姓名、籍貫、入仕年一致。
95359,徐璇,569038,徐璿,need_check,None,徐璇，籍貫、字、著述為同一人
34251,吳育,438069,吳育,,None,吳育，籍貫、字為同一人
90556,謝良琦,442789,謝良琦,,None,謝良琦，籍貫、字為同一人
77307,李長祥,359167,李長祥,,None,李長祥，指數年相近，入仕情況、籍貫相同
86320,顧咸建,355561,顧咸建,,None,顧咸建，籍貫、字為同一人
33250,何玉如,349105,何玉如,,None,何玉如，籍貫、字為同一人
127821,李承式,218254,李承式,,None,李承式，籍貫、字為同一人
34510,倪岳,257847,倪岳,,None,倪岳，籍貫相同，指數年接近
128732,金紳,269545,金紳,,None,金紳，籍貫、任官等信息為同一人
34509,倪謙,257842,倪謙,,None,倪謙，籍貫、任官等信息為同一人
34509,倪謙,327086,倪謙,,None,倪謙，籍貫、任官等信息為同一人
129702,孫子良,262310,孫子良,,None,孫子良，籍貫、任官、入仕信息為同一人
129702,孫子良,347451,孫子良,,None,孫子良，籍貫、任官、入仕信息為同一人
130756,陸溥,370761,陸溥,,None,陸溥，基本信息一致，指數年相近
133101,錢宏,375116,錢宏,,None,錢宏，基本信息一致，指數年相近
128184,吳玭,288391,吳玭,,None,吳玭，基本信息一致，指數年相近
128184,吳玭,351619,吳玭,,None,吳玭，基本信息一致，指數年相近
232015,姚良弼,202863,姚良弼,,None,姚良弼，基本信息一致，指數年相近
131912,葛寅亮,362213,葛寅亮,,None,葛寅亮，姓名相同，都是1601年進士
131912,葛寅亮,385159,葛寅亮,,None,葛寅亮，姓名相同，都是1601年進士
68016,洪鍾,551414,洪鐘,need_check,None,洪鐘，基本信息一致
68016,洪鍾,470181,洪鐘,need_check,None,洪鐘，基本信息一致
203941,許嶽,470596,許嶽,,None,許嶽，任官信息為同一人
54291,錢受益,375088,錢受益,,None,錢受益，基本信息為同一人
34486,金幼孜,66728,金善,need_check,None,by PKB
135528,吳廷翰,312825,吳廷翰,,None,by PKB
122655,張元抃,130335,張元忭,need_check,None,by PKB
34519,何文淵,254713,何文淵,,None,by PKB
66378,周顯,103933,周顯,,None,by PKB
15471,黃疇若,550341,黃疇若,,None,by PKB
76068,孫希旦,347646,孫希旦,,None,by PKB
93093,李群玉,439055,李群玉,,None,by PKB
131550,華鈺,362140,華鈺,,None,by PKB
222080,朱國禎,233254,朱國禎,,None,by PKB
